measure,location,sex,age,cause,rei,metric,year,val,upper,lower
5,1,3,22,294,195,1,2019,1571257495.8659058,1635483952.4482555,1511948875.3156846
5,1,3,22,294,195,2,2019,0.21117061548664648,0.21995315375620858,0.2031583424194205
5,1,3,22,294,195,3,2019,20307.13641306005,21137.20749852939,19540.62408064312
